"id","name","industry","subindustry","address","street","house_nr","postal_code","city","state","country","phone","skype","url","logo","email"
"20","Shine Removals and Cleaning","Moving & Relocation Services",NULL,"Burke Road, Balwyn North, Melbourne, VIC 3104","Burke Road Balwyn North",NULL,"3104"," Melbourne","VIC","Australia","1300 507 487",NULL,,,NULL
"21","Orbital Transport, Inc.","Moving & Relocation Services","Trucking Companies","5202 Enterprise Blvd, Toledo, OH 43612"," Enterprise Blvd","5202","OH 43612"," Toledo","Ohio","USA","877-697-7223",NULL,,,NULL
"22","Security Pilot Car Service","Pilot Car & Load Escort",NULL,"1950 S 13th St, Niles, MI 49120"," S 13th St","1950","MI 49120"," Niles","Michigan","USA","(269) 683-4756",NULL,,NULL,NULL
"23","Jim’s Pilot Car Service, LLC","Pilot Car & Load Escort",NULL,"3619 W Smith Ferry Rd, Muskogee, OK 74401"," W Smith Ferry Rd","3619","OK 74401"," Muskogee","Oklahoma","USA","(918) 682-9636",NULL,,NULL,NULL
"24","RLC Escort","Pilot Car & Load Escort",NULL,"8005 Aedc Rd, Estill Springs, TN 37330"," Aedc Rd","8005","TN 37330"," Estill Springs","Tennessee","USA","(931) 312-0935",NULL,,NULL,NULL
"25","AAA Pilot Car","Pilot Car & Load Escort",NULL,"PO Box 3635, Gillette, WY 82717","PO Box 3635","8005","WY 82717"," Gillette","Wyoming","USA","(307) 682-1296",NULL,,NULL,NULL
"26","Millers Pilot Car Service","Pilot Car & Load Escort",NULL,"1148 Hatlee Trce, Tallahassee, FL 32304"," Hatlee Trce","1148","FL 32304"," Tallahassee","Florida","USA","(850) 519-5058",NULL,,NULL,NULL
"27","Bobbi’s Pilot Car","Pilot Car & Load Escort",NULL,"22073 N Rond Rd, Lodi, CA 95242"," N Rond Rd","22073","CA 95242"," Lodi","California","USA","(209) 810-5238",NULL,,NULL,NULL
"28","Extra Mile Pilot Cars","Pilot Car & Load Escort",NULL,"2433 13th St, Menominee, MI 49858"," 13th St","2433","MI 49858"," Menominee","Michigan","USA","(715) 923-8703",NULL,,NULL,NULL
"29","T-N-T Pilot Car LLC","Pilot Car & Load Escort",NULL,"1390 Middle Swamp Rd, Corapeake, NC 27926"," Middle Swamp Rd","1390","NC 27926"," Corapeake","North Carolina","USA","(252) 465-2036",NULL,,NULL,NULL
"30","Pilot Carz 4U, LLC","Pilot Car & Load Escort",NULL,"Williston, SC 29853",,NULL,"SC 29853","Williston","South Carolina","USA","(803) 266-5149",NULL,,NULL,NULL
"31","Badger Transport, Inc.","Pilot Car & Load Escort",NULL,"325A 15th Street, Clintonville, WI 54929","325A 15th Street","1390","WI 54929"," Clintonville","Wisconsin","USA","(715) 823-5426",NULL,,NULL,NULL
"32","A Guiding Light Pilot Car Service","Pilot Car & Load Escort",NULL,"P.O. Box 593, Shafter, CA 93263","P.O. Box 593","1390","CA 93263"," Shafter","California","USA","(661) 332-6433",NULL,,NULL,NULL
"33","Hulett’s Pilot Car Service LLC","Pilot Car & Load Escort",NULL,"1248 Chobee Street, Okeechobee, FL 34974"," Chobee Street","1248","FL 34974"," Okeechobee","Florida","USA","(863) 697-8707",NULL,,NULL,NULL
"34","Excellent Pilot Car Services, Inc.","Pilot Car & Load Escort",NULL,"15511 Campau Rd, Rockwood, MI 48173"," Campau Rd","15511","MI 48173"," Rockwood","Michigan","USA","(734) 379-2101",NULL,,NULL,NULL
"35","J.A.M. Flag Car Services, Inc.","Pilot Car & Load Escort",NULL,"3622 Pine Ridge Rd, Lowgap, NC 27024"," Pine Ridge Rd","3622","NC 27024"," Lowgap","North Carolina","USA","(336) 320-2587",NULL,,NULL,NULL
"36","J. B. Crawford Pilot Car Service","Pilot Car & Load Escort",NULL,"204 Sandcreek Dr, Winnsboro, SC 29180"," Sandcreek Dr","204","SC 29180"," Winnsboro","South Carolina","USA","(803) 718-0586",NULL,,NULL,NULL
"37","HiTech Pilot Cars","Pilot Car & Load Escort",NULL,"201 Wildflower Creek Dr, Martinsburg, WV 25404"," Wildflower Creek Dr","201","WV 25404"," Martinsburg","West Virginia","USA","(424) 244-8324",NULL,,NULL,NULL
"38","TEAM Pilot Car Service, LLC","Pilot Car & Load Escort",NULL,"3309 Creek Circle, Guntersville, AL 35976"," Creek Circle","3309","AL 35976"," Guntersville","Alabama","USA","(256) 238-1109",NULL,,NULL,NULL
"39","Hopkins Pilot Service","Pilot Car & Load Escort",NULL,"P.O. Box 2021, Dover, FL 33527","P.O. Box 2021","3309","FL 33527"," Dover","Florida","USA","(813) 850-6930",NULL,,NULL,NULL
"40","D. J.’s Pilot Car Service","Pilot Car & Load Escort",NULL,"814 Marathon Rd, Cotton Valley, LA 71018"," Marathon Rd","814","LA 71018"," Cotton Valley","Louisiana","USA","(318) 832-5353",NULL,,NULL,NULL
"41","State Line Pilot Car & Permit Service, LLC","Pilot Car & Load Escort",NULL,"Stoddard Road, Canandaigua, NY 14424","Stoddard Road","814","NY 14424"," Canandaigua","New York","USA","(585) 394-9364",NULL,,NULL,NULL
"42","Fragile Removals & Storage","Moving & Relocation Services",NULL,"72/95 Napier Street, Fitzroy, Melbourne, VIC 3065","Napier Street Fitzroy","72/95","3065"," Melbourne","VIC","Australia","1300 857 696",NULL,,,NULL
"43","Smart Move","Moving & Relocation Services",NULL,"16-18 Grosvenor Street, Sydney","Grosvenor Street","16-18",NULL,"Sydney",,"Australia‎","+61 1300 668 387",NULL,,,NULL
"44","VanOne","Moving & Relocation Services",NULL,"Unit A8, Safestore, 28 Great Cambridge Road, Enfield EN1 1UT, London","Unit A8 Safestore 28 Great Cambridge Road",NULL,NULL," Enfield EN1 1UT","London","UK","020 8090 2107",NULL,,,NULL
"45","Quick Pick Movers","Moving & Relocation Services",NULL,"1/9 Viewtech Place, Rowville, Melbourne VIC 3178","1/9 Viewtech Place",,"3178"," Rowville","Melbourne","Australia","03 9764 3684",NULL,,,NULL
"46","My Tucson Movers","Moving & Relocation Services",NULL,"1625 E Prince Road #79, Tucson, AZ 85719"," E Prince Road #79","1625","AZ 85719"," Tucson","Arizona","USA","(520) 822-6140",NULL,,,NULL
"47","DRAZO Logistics Ltd","Customs Brokers","Freight Forwarding","83 Bukoto Road, Kampala","Bukoto Road","83",NULL,"Kampala",,"Uganda","+256 772 979480",NULL,,,NULL
"48","Orison Logistics","Moving & Relocation Services",NULL,"Block-2, Karachi","Block-2",NULL,NULL,"Karachi",,"Pakistan","+9221 345 26205",NULL,,,NULL
"49","CSS Homeward Bound","Moving & Relocation Services",NULL,"Dubai Creek Customs - Customs Wharfage, Warehouse B, 27802 Dubai","Dubai Creek Customs - Customs Wharfage, Warehouse B",,"27802","Dubai",,"UAE","+971 4 2227780",NULL,,,NULL
"50","Move 4 Cheap","Moving & Relocation Services",NULL,"46 Redleap Avenue, Mill Park","Redleap Avenue","46",NULL,"Mill Park",,"Australia","03 8682 8929",NULL,,,NULL
"51","J’s Junk","Moving & Relocation Services",NULL,"3381 Cambie Street #338, Vancouver, BC V5Z 2W6","3381 Cambie Street #338","1625",," Vancouver","BC","Canada","(604) 836-5865",NULL,,,NULL
"52","Suddath","Freight Forwarding","Logistics Service Providers - 3PL","815 S Main Street, Jacksonville, FL 32207"," S Main Street","815","FL 32207"," Jacksonville","Florida","USA","888-799-5033",NULL,,,NULL
"53","All My Sons Moving & Storage","Moving & Relocation Services",NULL,"11848 S Harrells Ferry Road, Baton Rouge, LA 70816"," S Harrells Ferry Road","11848","LA 70816"," Baton Rouge","Louisiana","USA","(225) 292-2424",NULL,,,NULL
"54","All My Sons Moving & Storage","Moving & Relocation Services",NULL,"3718 South 132nd Street, Omaha, NE 68144"," South 132nd Street","3718","NE 68144"," Omaha","Nebraska","USA","(402) 972-4606",NULL,,,NULL
"55","Dartmoor Storage, LLC","Self Storage",NULL,"3295 Barbour County Hwy, Belington, WV 26250"," Barbour County Hwy","3295","WV 26250"," Belington","West Virginia","USA","(304) 470-4028",NULL,,NULL,NULL
"56","Stickney Truck Escort","Pilot Car & Load Escort",NULL,"1010 Winfield Road, Cabot, PA 16023"," Winfield Road","1010","PA 16023"," Cabot","Pennsylvania","USA","(724) 352-2145",NULL,,NULL,NULL
"57","J&J Pilot Service","Pilot Car & Load Escort",NULL,"10105 NE 179th St, Battle Ground, WA 98604"," NE 179th St","10105","WA 98604"," Battle Ground","Washington","USA","(360) 903-2398",NULL,,NULL,NULL
"58","Outlawz Escortz","Pilot Car & Load Escort",NULL,"249 County Road 596, Rogersville, AL 35652"," County Road 596","249","AL 35652"," Rogersville","Alabama","USA","(205) 412-4841",NULL,,NULL,NULL
"59","Certified Pilot Cars, LLC","Pilot Car & Load Escort",NULL,"1721 NW 7th Terrace, Fort Lauderdale, FL 33311"," NW 7th Terrace","1721","FL 33311"," Fort Lauderdale","Florida","USA","(954) 389-9770",NULL,,NULL,NULL
"60","Route America, Inc.","Pilot Car & Load Escort",NULL,"Frankfort, KY 40602","Frankfort",NULL,"40602","KY",,"USA","(502) 695-5852",NULL,,NULL,NULL
"61","Target Services “Pilot-Cars”","Pilot Car & Load Escort",NULL,"6114 Belle Village, San Antonio, TX 78250"," Belle Village","6114","TX 78250"," San Antonio","Texas","USA","(210) 521-5052",NULL,,NULL,NULL
"62","High Wide & Heavy Oversize Escorts, LLC","Pilot Car & Load Escort",NULL,"312 Arthur Kill Rd, Staten Island, NY 10308"," Arthur Kill Rd","312","NY 10308"," Staten Island","New York","USA","(718) 966-7255",NULL,,NULL,NULL
"63","Safe-Way Pilot Car Service, LLC","Pilot Car & Load Escort",NULL,"225 10th St, Matamoras, PA 18336"," 10th St","225","PA 18336"," Matamoras","Pennsylvania","USA","(570) 491-2102",NULL,,NULL,NULL
"64","Patriot Certified Pilot Cars, LLC","Pilot Car & Load Escort",NULL,"18 Bancroft Rd, Sandy Hook, CT 06482"," Bancroft Rd","18","CT 6482"," Sandy Hook","Connecticut","USA","(203) 364-1961",NULL,,NULL,NULL
"65","Waterbury Self Storage","Self Storage",NULL,"2454 E Main Street, Waterbury, CT 06705"," E Main Street","2454","CT 6705"," Waterbury","Connecticut","USA","(203) 574-2764",NULL,,NULL,NULL
"66","J. Austin Trucking, Inc.","Freight Brokers","Pilot Car & Load Escort","18400 Ridgeland Ave, Tinley Park, IL 60477"," Ridgeland Ave","18400","IL 60477"," Tinley Park","Illinois","USA","(708) 516-8405",NULL,,NULL,NULL
"67","Lil’ Reds Pilot Car Service LLC","Pilot Car & Load Escort",NULL,"1949 Edmondson St, Albertville, AL 35950"," Edmondson St","1949","AL 35950"," Albertville","Alabama","USA","(256) 894-7149",NULL,,NULL,NULL
"68","EZ Storage","Self Storage",NULL,"289 Dekalb Pike, North Wales, PA 19454"," Dekalb Pike","289","PA 19454"," North Wales","Pennsylvania","USA","(215) 699-6002",NULL,,,NULL
"69","Valley Transportation Group, Inc.","Logistics Service Providers - 3PL","Moving & Relocation Services","1807 2nd Street, Santa Fe, NM 87505"," 2nd Street","1807","NM 87505"," Santa Fe","New Mexico","USA","(505) 954-0018",NULL,,NULL,NULL
"70","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","3100 Springhill Drive, North Little Rock, AR 72117"," Springhill Drive","3100","AR 72117"," North Little Rock","Arkansas","USA","(501) 945-9862",NULL,,NULL,NULL
"71","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","2943 E Wieding Road, Tucson, AZ 85706"," E Wieding Road","2943","AZ 85706"," Tucson","Arizona","USA","(520) 573-0651",NULL,,NULL,NULL
"72","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","7 Depot Hill Road, Enfield, CT 06082"," Depot Hill Road","7","CT 6082"," Enfield","Connecticut","USA","(860) 623-2518",NULL,,NULL,NULL
"73","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","5215 W Lower Buckeye Road, Phoenix, AZ 85043"," W Lower Buckeye Road","5215","AZ 85043"," Phoenix","Arizona","USA","(602) 272-3211",NULL,,NULL,NULL
"74","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","4575 Tidewater Avenue, Oakland, CA 94601"," Tidewater Avenue","4575","CA 94601"," Oakland","California","USA","(510) 533-8575",NULL,,NULL,NULL
"75","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","7075 Carroll Road, San Diego, CA 92121"," Carroll Road","7075","CA 92121"," San Diego","California","USA","(858) 689-9854",NULL,,NULL,NULL
"76","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","1308 Railroad Avenue, Orland, CA 95963"," Railroad Avenue","1308","CA 95963"," Orland","California","USA","(916) 428-3531",NULL,,NULL,NULL
"77","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","8001 Telegraph Road, Pico Rivera, CA 90660"," Telegraph Road","8001","CA 90660"," Pico Rivera","California","USA","(323) 773-2580",NULL,,NULL,NULL
"78","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","10744 Almond Avenue, Fontana, CA 92337"," Almond Avenue","10744","CA 92337"," Fontana","California","USA","(909) 355-9805",NULL,,NULL,NULL
"79","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","3250 47th Avenue, Sacramento, CA 95824"," 47th Avenue","3250","CA 95824"," Sacramento","California","USA","(916) 428-3531",NULL,,NULL,NULL
"80","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","12200 Montague Street, Pacoima, CA 91331"," Montague Street","12200","CA 91331"," Pacoima","California","USA","(818) 897-2266",NULL,,NULL,NULL
"81","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","2135 O'Toole Avenue, San Jose, CA 95131"," O'Toole Avenue","2135","CA 95131"," San Jose","California","USA","(408) 435-8550",NULL,,NULL,NULL
"82","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","875 Energy Way, Chula Vista, CA 91911"," Energy Way","875","CA 91911"," Chula Vista","California","USA","(619) 656-7952",NULL,,NULL,NULL
"83","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","2427 W Yosemite Avenue, Manteca, CA 95337"," W Yosemite Avenue","2427","CA 95337"," Manteca","California","USA","(209) 823-2151",NULL,,NULL,NULL
"84","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","270 Dutton Avenue, Santa Rosa, CA 95407"," Dutton Avenue","270","CA 95407"," Santa Rosa","California","USA","(707) 543-8070",NULL,,NULL,NULL
"85","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","965 Maulhardt Avenue, Oxnard, CA 93030"," Maulhardt Avenue","965","CA 93030"," Oxnard","California","USA","(805) 988-5885",NULL,,NULL,NULL
"86","Square Cow Movers","Moving & Relocation Services",NULL,"9311 N FM 620, Austin, TX 78726"," N FM 620","9311","TX 78726"," Austin","Texas","USA","(512) 401-6683",NULL,,,NULL
"87","Sydney Freight Pty Ltd","Moving & Relocation Services",NULL,"30/122-126 Old Pittwater Road, Brookvale NSW 2100","30/122-126 Old Pittwater Road",NULL,"2100","Brookvale",,"Australia","(02) 9907 3142",NULL,,,NULL
"88","Quick & Easy Removals","Moving & Relocation Services",NULL,"2/369 Illawarra Road, Marrickville NSW 2204","2/369 Illawarra Road",NULL,"2204","Marrickville","NSW","Australia","1300 883 117",NULL,,,NULL
"89","American Affordable Movers","Moving & Relocation Services",NULL,"4300 W Central Avenue, Wichita, KS 67212"," W Central Avenue","4300","KS 67212"," Wichita","Kansas","USA","(316) 202-2157",NULL,,,NULL
"90","Jay Skokie Movers","Moving & Relocation Services",NULL,"8340 Keeler Avenue, Skokie, IL 60076"," Keeler Avenue","8340","IL 60076"," Skokie","Illinois","USA","(847) 748-1865",NULL,,,NULL
"91","Moving Again","Moving & Relocation Services",NULL,"3/31 Expansion Street, Molendinar QLD 4214","3/31 Expansion Street",NULL,"4214","Molendinar","QLD","Australia","07 55100500",NULL,,,NULL
"92","Universal Relocations, LLC","Customs Brokers","Freight Forwarding","41913 Osgood Road, Fremont, CA 94539"," Osgood Road","41913","CA 94539"," Fremont","California","USA","(855) 864-7356",NULL,,,NULL
"93","AAA Bill’s Sydney Removalists","Moving & Relocation Services",NULL,"8 Cowper Street, Parramatta NSW 2150","Cowper Street","8","2150","Parramatta","NSW","Australia","(02) 96356571",NULL,,,NULL
"94","Daniel’s Moving and Storage","Moving & Relocation Services",NULL,"6131 West Van Buren Street, Phoenix, AZ 85043"," West Van Buren Street","6131","AZ 85043"," Phoenix","Arizona","USA","(602) 278-6110",NULL,,,NULL
"95","California New York Express Movers","Moving & Relocation Services",NULL,"1248 Palmetto Street, Los Angeles, CA 90013"," Palmetto Street","1248","CA 90013"," Los Angeles","California","USA","888-680-7200",NULL,,,NULL
"96","Moving Movers","Moving & Relocation Services",NULL,"3290 McCutcheon Crossing Dr, Columbus, OH 43215"," McCutcheon Crossing Dr","3290","OH 43215"," Columbus","Ohio","USA","(614) 653-8981",NULL,,,NULL
"97","Backloadings","Moving & Relocation Services",NULL,"94 Benowa Road, Southport QLD","Benowa Road","94",NULL,"Southport","QLD","Australia",NULL,NULL,,,NULL
"98","Jay Movers Morton Grove","Moving & Relocation Services",NULL,"8549 Callie Ave, Morton Grove, IL 60053"," Callie Ave","8549","IL 60053"," Morton Grove","Illinois","USA","(847) 986-5583",NULL,,,NULL
"99","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","6850 E 45th Street, Loveland, CO 80538"," E 45th Street","6850","CO 80538"," Loveland","Colorado","USA","(970) 593-9640",NULL,,NULL,NULL
"100","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","211 Glover Road, Dothan, AL 36303"," Glover Road","211","AL 36303"," Dothan","Alabama","USA","(334) 793-4838",NULL,,NULL,NULL
"101","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","880 Ford Street, Colorado Springs, CO 80915"," Ford Street","880","CO 80915"," Colorado Springs","Colorado","USA","(719) 596-9201",NULL,,NULL,NULL
"102","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","810 19th Avenue SE, Decatur, AL 35601"," 19th Avenue SE","810","AL 35601"," Decatur","Alabama","USA","(256) 355-8920",NULL,,NULL,NULL
"103","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","6101 E Highland Drive, Jonesboro, AR 72401"," E Highland Drive","6101","AR 72401"," Jonesboro","Arkansas","USA","(870) 935-3611",NULL,,NULL,NULL
"104","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","5871 N Broadway, Denver, CO 80216"," N Broadway","5871","CO 80216"," Denver","Colorado","USA","(303) 295-1561",NULL,,NULL,NULL
"105","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","520 Trade Center Street, Montgomery, AL 36108"," Trade Center Street","520","AL 36108"," Montgomery","Alabama","USA","(334) 265-8120",NULL,,NULL,NULL
"106","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","1550 Truckers Drive, Fayetteville, AR 72704"," Truckers Drive","1550","AR 72704"," Fayetteville","Arkansas","USA","(479) 442-7324",NULL,,NULL,NULL
"107","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","330 S Teilman Avenue, Fresno, CA 93706"," S Teilman Avenue","330","CA 93706"," Fresno","California","USA","(559) 268-5683",NULL,,NULL,NULL
"108","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","1800 E 1st Avenue, Anchorage, AK 99501"," E 1st Avenue","1800","AK 99501"," Anchorage","Alaska","USA","(907) 243-9111",NULL,,NULL,NULL
"109","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","1221 Wheeler Avenue, Fort Smith, AR 72901"," Wheeler Avenue","1221","AR 72901"," Fort Smith","Arkansas","USA","(479) 785-8880",NULL,,NULL,NULL
"110","All Around Moving Services Company","Moving & Relocation Services",NULL,"12 Desbrosses St, New York, NY 10013"," Desbrosses St","12","NY 10013"," New York","New York","USA","(212) 781-4118",NULL,,,NULL
"111","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","3307 Gulf Street, Bakersfield, CA 93308"," Gulf Street","3307","CA 93308"," Bakersfield","California","USA","(661) 323-7790",NULL,,NULL,NULL
"112","Browning Moving & Storage","Moving & Relocation Services","Public & Contract Warehousing","3725 Frontage Rd N, Lakeland, FL 33810"," Frontage Rd N","3725","FL 33810"," Lakeland","Florida","USA","(800) 722-6683",NULL,,,NULL
"113","Westheimer Transfer and Storage","Moving & Relocation Services","Public & Contract Warehousing","9960 Buffalo Speedway, Houston, TX 77054"," Buffalo Speedway","9960","TX 77054"," Houston","Texas","USA","(713) 526-3911",NULL,,,NULL
"114","Desert Sun Moving Services","Moving & Relocation Services","Public & Contract Warehousing","2155 S 75th Ave, Phoenix, AZ 85043"," S 75th Ave","2155","AZ 85043"," Phoenix","Arizona","USA","(602) 278-3313",NULL,,,NULL
"115","Thomas Transfer and Storage","Moving & Relocation Services","Public & Contract Warehousing","906 E 6th Ave, Emporia, KS 66801"," E 6th Ave","906","KS 66801"," Emporia","Kansas","USA","(620) 342-1163",NULL,,,NULL
"116","Thomas Transfer and Storage","Moving & Relocation Services","Public & Contract Warehousing","7701 E Osie St, Wichita, KS 67207"," E Osie St","7701","KS 67207"," Wichita","Kansas","USA","(316) 686-1111",NULL,,,NULL
"117","Get Your Move On, LLC","Moving & Relocation Services",NULL,"730 W Fairmont Dr, Tempe, AZ 85282"," W Fairmont Dr","730","AZ 85282"," Tempe","Arizona","USA","(602) 820-3559",NULL,,,NULL
"118","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","33210 Cyril Place, Kettleman City, CA 93239"," Cyril Place","33210","CA 93239"," Kettleman City","California","USA","(559) 386-1564",NULL,,NULL,NULL
"119","ABF Freight System, Inc.","Moving & Relocation Services","Trucking Companies","405 E Alondra Blvd, Compton, CA 90221"," E Alondra Blvd","405","CA 90221"," Compton","California","USA","(310) 223-0350",NULL,,NULL,NULL
"120","Valley Transportation Group, Inc.","Logistics Service Providers - 3PL","Moving & Relocation Services","499 Industrial Blvd NE, Albuquerque, NM 87107"," Industrial Blvd NE","499","NM 87107"," Albuquerque","New Mexico","USA","(505) 344-9030",NULL,,NULL,NULL
"121","Valley Transportation Group, Inc.","Logistics Service Providers - 3PL","Moving & Relocation Services","4977 Energy Way, Reno, NV 89502"," Energy Way","4977","NV 89502"," Reno","Nevada","USA","(775) 856-6146",NULL,,NULL,NULL
"122","Dircks Moving & Logistics","Logistics Service Providers - 3PL","Moving & Relocation Services","4340 W Mohave Street, Phoenix, AZ 85043"," W Mohave Street","4340","AZ 85043"," Phoenix","Arizona","USA","(602) 267-9401",NULL,,NULL,NULL
"123","Desert View Logistics, LLC","Moving & Relocation Services",NULL,"515 E Carefree Highway, Phoenix, AZ 85085"," E Carefree Highway","515","AZ 85085"," Phoenix","Arizona","USA","(623) 516-8114",NULL,,NULL,NULL
"124","Valley Transportation Group, Inc.","Logistics Service Providers - 3PL","Moving & Relocation Services","6652 W Buckeye Road, Phoenix, AZ 85043"," W Buckeye Road","6652","AZ 85043"," Phoenix","Arizona","USA","(602) 252-6531",NULL,,NULL,NULL
"125","Valley Transportation Group, Inc.","Logistics Service Providers - 3PL","Moving & Relocation Services","2000 Hammer Lane, Fort Mohave, AZ 86426"," Hammer Lane","2000","AZ 86426"," Fort Mohave","Arizona","USA","(928) 768-1335",NULL,,NULL,NULL
"126","Lile International Companies","Logistics Service Providers - 3PL","Moving & Relocation Services","2061 Lars Way, Medford, OR 97501"," Lars Way","2061","OR 97501"," Medford","Oregon","USA","(541) 772-6278",NULL,,NULL,NULL
"127","Valley Transportation Group, Inc.","Logistics Service Providers - 3PL","Moving & Relocation Services","7825 N Hartman Lane, Tucson, AZ 85743"," N Hartman Lane","7825","AZ 85743"," Tucson","Arizona","USA","(520) 744-9700",NULL,,NULL,NULL
